r14_user23_22,r14_user23_19,10
r14_user23_32,r14_user23_6,10
r14_user23_9,r14_user23_10,10
r14_user23_2,r14_user23_4,10
r14_user23_19,r14_user23_5,10
r14_user23_38,r14_user23_16,10
r14_user23_38,r14_user23_31,10
r14_user23_32,r14_user23_30,10
r14_user23_1,r14_user23_15,10
r14_user23_36,r14_user23_12,10
r14_user23_4,r14_user23_36,10
r14_user23_9,r14_user23_22,10
r14_user23_2,r14_user23_1,10
r14_user23_5,r14_user23_33,10
r14_user23_3,r14_user23_34,10
r14_user23_26,r14_user23_5,10
r14_user23_39,r14_user23_29,10
r14_user23_40,r14_user23_8,10
r14_user23_11,r14_user23_37,10
r14_user23_11,r14_user23_7,10
